"","weight","set"
"ACVR2B",-0.00145359733689182,"Other"
"ACVRL1",0.00592380403013035,"Other"
"ACY1",0.000226983620213638,"Other"
"ACYP1",9.17418531219766e-05,"Other"
"ACYP2",0.00233922692819045,"Other"
"AD000671.1",0.00301429760495632,"Other"
"ADA",0.000745103701950876,"Other"
"ADA2",0.000721150971567809,"Other"
"ADAL",-0.0011637546519416,"Other"
"ADAM10",0.00110587397621218,"Other"
"ADAM12",0.0023773608311551,"Other"
"ADAM15",0.00188764130053931,"Other"
"ADAM17",0.000547885835460084,"Other"
"ADAM19",-0.000303722291474413,"Other"
"ADAM23",0.00552769362665757,"Other"
"ADAM28",-0.000226664873222409,"Other"
"ADAM32",-0.000570620909508731,"Other"
"ADAM33",-2.13351579424235e-05,"Other"
"ADAM8",-0.00117002120661598,"Other"
"ADAM9",0.000789203301371093,"Other"
"ADAMTS1",-0.00133849595554349,"Other"
"ADAMTS10",0.00884668074859641,"Other"
"ADAMTS12",0.000906171291780616,"Other"
"ADAMTS13",0.00402443729727261,"Other"
"ADAMTS14",0.00277490181900124,"Other"
"ADAMTS15",-0.00960801430194676,"Other"
"ADAMTS16",0.0077985817003595,"Other"
"ADAMTS17",-0.000711433837958063,"Other"
"ADAMTS18",0.00539172446288271,"Other"
"ADAMTS19",-0.00264073100186355,"Other"
"ADAMTS2",0.000751182090907295,"Other"
"ADAMTS3",0.00209639437808392,"Other"
"ADAMTS4",-0.0058464888738876,"Other"
"ADAMTS5",0.00535306719046154,"Other"
"ADAMTS6",-1.69290757652231e-05,"Other"
"ADAMTS7",0.00058488911624818,"Other"
"ADAMTS8",0.00549403777634826,"Other"
"ADAMTS9",0.00148611717363633,"Other"
"ADAMTSL1",-0.00446529210254388,"Other"
"ADAMTSL4",0.00284562431156147,"Other"
"ADAMTSL5",0.00123786201917281,"Other"
"ADAP1",-0.00259296371693476,"Other"
"ADAP2",0.0014819637848233,"Other"
"ADAR",-7.94785511747211e-05,"Other"
"ADARB1",-0.00188853361117939,"Other"
"ADARB2",-0.00327191552608895,"Other"
"ADAT1",0.000295558762021308,"Other"
"ADAT2",0.000427800911200947,"Other"
"ADAT3",-0.00264224393404713,"Other"
"ADCK1",-0.000701533056528154,"Other"
"ADCK2",0.000774781906295123,"Other"
"ADCK5",-0.00266547268845311,"Other"
"ADCY1",0.00329485048763368,"Other"
"ADCY2",0.00584838693642641,"Other"
"ADCY3",-0.00169045620686816,"Other"
"ADCY4",0.00227338983160401,"Other"
"ADCY5",0.00252528379380567,"Other"
"ADCY6",0.00101389031098445,"Other"
"ADCY7",0.000121520758169631,"Other"
"ADCY9",0.000270227103967193,"Other"
"ADD1",-0.000220200149561667,"Other"
"ADD2",0.00123163502315015,"Other"
"ADD3",0.000790714386997854,"Other"
"ADGRA2",-0.000653211101761091,"Other"
"ADGRA3",-1.28375921171416e-05,"Other"
"ADGRB2",0.00118459364453816,"Other"
"ADGRD1",0.00131120874606821,"Other"
"ADGRE2",-0.000243168704231367,"Other"
"ADGRE5",-0.000395825900134096,"Other"
"ADGRF1",-0.0046826825651798,"Other"
"ADGRF4",0.00405225715959123,"Other"
"ADGRF5",0.00924589578330157,"Other"
"ADGRG1",-0.00213349412622887,"Other"
"ADGRG6",-0.00442256025430627,"Other"
"ADGRL1",-0.000316243061119471,"Other"
"ADGRL2",-0.0046403688235537,"Other"
"ADGRL3",-0.00462821691316953,"Other"
"ADGRL4",0.00517093330822925,"Other"
"ADH1A",0.00189735934677762,"Other"
"ADH1B",0.00157885793851384,"Other"
"ADH1C",-0.00498566824457509,"Other"
"ADH5",-0.00100392589833594,"Other"
"ADHFE1",0.00174020177862144,"Other"
"ADI1",0.00108378456185629,"Other"
"ADIPOR1",0.000905991288922641,"Other"
"ADIPOR2",-0.000898018629228287,"Other"
"ADIRF",-0.000772397966523012,"Other"
"ADK",-0.000262747265362278,"Other"
"ADM",0.00166030535203961,"Other"
"ADM2",-0.00558911415848967,"Other"
"ADNP",-0.000160298586345945,"Other"
"ADNP2",-0.000667655610949859,"Other"
"ADO",0.000902168479591751,"Other"
"ADORA1",-6.1211686396403e-05,"Other"
"ADORA2A",0.00853916122578621,"Other"
"ADORA2B",-0.0010200173880044,"Other"
"ADPGK",0.000707353919400198,"Other"
"ADPRH",-0.000471658967253182,"Other"
"ADPRHL1",0.00036930620327454,"Other"
"ADPRHL2",-0.000274700382685235,"Other"
"ADPRM",-0.000167385675326187,"Other"
"ADRA1B",-0.000807412440959222,"Other"
"ADRA1D",-0.00607981439655203,"Other"
"ADRA2A",0.00668420660004289,"Other"
"ADRA2C",0.00193303814562131,"Other"
"ADRB2",0.000274979274385869,"Other"
"ADRM1",-8.12477039590637e-05,"Other"
"ADSL",-0.000920707381719331,"Other"
"ADSS",0.000699447001149636,"Other"
"ADSSL1",0.00394871116568448,"Other"
"ADTRP",0.00426683948197221,"Other"
"AEBP1",-0.00224029581586406,"Other"
"AEBP2",0.000343601054097897,"Other"
"AEN",0.000467242592389075,"Other"
"AFAP1",-0.000265534373204014,"Other"
"AFAP1L1",-0.00125694772924309,"Other"
"AFAP1L2",-0.00484411942631033,"Other"
