"","expression","weight","gene","threshold"
"AC026954.2",-0.0904137002452114,-0.00153839410756318,"AC026954.2","Negative"
"AC027237.1",-0.0974673971263332,-0.00335918630091743,"AC027237.1","Negative"
"AC027644.4",0.000511338585375896,-0.00083354195440081,"AC027644.4","Negative"
"AC027796.3",-0.0680721614880283,-0.00997888880785774,"AC027796.3","Negative"
"AC034102.1",0.0163819219429199,0.00178048469014103,"AC034102.1","Positive"
"AC037459.1",-0.147733467236085,-0.0045503172300687,"AC037459.1","Negative"
"AC040162.1",-0.024546759714984,-0.00154239769127469,"AC040162.1","Negative"
"AC046185.1",0.0395693290163826,0.00427319667696467,"AC046185.1","Positive"
"AC048338.1",0.01664376707063,0.00173789068659581,"AC048338.1","Positive"
"AC055839.2",-0.00483934719355447,-0.00170053957058251,"AC055839.2","Negative"
"AC058822.1",-0.192376891408452,-0.0192662431832643,"AC058822.1","Negative"
"AC067968.1",-0.0790526948592457,-0.00476039534382918,"AC067968.1","Negative"
"AC068234.1",0.12052040111186,0.0128467029743258,"AC068234.1","Positive"
"AC068533.4",0.186356049243766,0.0107235859655528,"AC068533.4","Positive"
"AC068580.4",0.0438379224752033,0.00491150935047177,"AC068580.4","Positive"
"AC068631.2",-0.122981722537353,0.00506664448482709,"AC068631.2","Positive"
"AC068831.7",-0.120718262239914,-0.00162002213866323,"AC068831.7","Negative"
"AC068896.1",0.00918723333269499,0.00021285977786305,"AC068896.1","Positive"
"AC068946.1",0.0302469833859187,0.00618899102575754,"AC068946.1","Positive"
"AC068946.2",0.000912384121137396,0.0010943325293661,"AC068946.2","Positive"
"AC069257.3",-0.0772483080763311,-0.00836295050445171,"AC069257.3","Negative"
"AC069288.1",-0.00913727356815713,-0.00240854029232865,"AC069288.1","Negative"
"AC069368.1",0.0489241635056103,-0.00309450142233063,"AC069368.1","Negative"
"AC069503.2",0.0650096394340628,0.00685579783482199,"AC069503.2","Positive"
"AC073111.4",0.00750169557818172,0.00149923607117565,"AC073111.4","Positive"
"AC073283.3",-0.0606920157595022,-0.00227143274489088,"AC073283.3","Negative"
"AC073508.2",-0.0989183145493063,-0.00362804781096328,"AC073508.2","Negative"
"AC073610.2",0.179247539006894,0.015738662290273,"AC073610.2","Positive"
"AC073612.1",0.0118594567175606,0.009893875182647,"AC073612.1","Positive"
"AC073896.1",-0.0696830383089948,-0.00215806092637339,"AC073896.1","Negative"
"AC074143.1",0.0153362883682149,0.00174911909890762,"AC074143.1","Positive"
"AC074143.2",0.0219722513071473,0.00095876257614337,"AC074143.2","Positive"
"AC078927.1",0.0905515267394712,0.00989567570378544,"AC078927.1","Positive"
"AC079447.1",0.00264526911101604,0.0019205800181511,"AC079447.1","Positive"
"AC079594.2",-0.104687158086409,-0.00855833131677495,"AC079594.2","Negative"
"AC080038.1",0.0159993394885077,0.00157351002945406,"AC080038.1","Positive"
"AC084337.2",-0.0263856400618998,-0.00346542245393852,"AC084337.2","Negative"
"AC087289.1",-0.00101460680442903,-0.00118308520958261,"AC087289.1","Negative"
"AC087289.4",-0.108867446023584,-0.00187624936312536,"AC087289.4","Negative"
"AC087632.1",-0.240696328530314,-0.00958662783618465,"AC087632.1","Negative"
"AC087721.2",-0.128951515503541,-0.00404510256322465,"AC087721.2","Negative"
