"","method","unit","AUC","dataset"
"Teo2019.170","CDKN1A","Fold09.Rep3",0.708708419067215,"Teo2019"
"Teo2019.171","CDKN2A","Fold09.Rep3",0.71264146090535,"Teo2019"
"Teo2019.172","LMNB1","Fold09.Rep3",0.365987225651577,"Teo2019"
"Teo2019.173","CDKN2B","Fold09.Rep3",0.782203789437586,"Teo2019"
"Teo2019.174","SERPINE1","Fold09.Rep3",0.282000171467764,"Teo2019"
"Teo2019.175","hUSI","Fold10.Rep3",0.82681755829904,"Teo2019"
"Teo2019.176","CDKN1A","Fold10.Rep3",0.69823816872428,"Teo2019"
"Teo2019.177","CDKN2A","Fold10.Rep3",0.710498113854595,"Teo2019"
"Teo2019.178","LMNB1","Fold10.Rep3",0.374871399176955,"Teo2019"
"Teo2019.179","CDKN2B","Fold10.Rep3",0.775784465020576,"Teo2019"
"Teo2019.180","SERPINE1","Fold10.Rep3",0.271122685185185,"Teo2019"
"Tang2019.1","hUSI","Fold01.Rep1",0.828969907407407,"Tang2019"
"Tang2019.2","CDKN1A","Fold01.Rep1",0.719671103395062,"Tang2019"
"Tang2019.3","CDKN2A","Fold01.Rep1",0.464461805555556,"Tang2019"
"Tang2019.4","LMNB1","Fold01.Rep1",0.498594714506173,"Tang2019"
"Tang2019.5","CDKN2B","Fold01.Rep1",0.497404513888889,"Tang2019"
"Tang2019.6","SERPINE1","Fold01.Rep1",0.705961612654321,"Tang2019"
"Tang2019.7","hUSI","Fold02.Rep1",0.82673225308642,"Tang2019"
"Tang2019.8","CDKN1A","Fold02.Rep1",0.716637731481481,"Tang2019"
"Tang2019.9","CDKN2A","Fold02.Rep1",0.459421296296296,"Tang2019"
"Tang2019.10","LMNB1","Fold02.Rep1",0.498590856481481,"Tang2019"
"Tang2019.11","CDKN2B","Fold02.Rep1",0.49741512345679,"Tang2019"
"Tang2019.12","SERPINE1","Fold02.Rep1",0.690393518518518,"Tang2019"
"Tang2019.13","hUSI","Fold03.Rep1",0.827752700617284,"Tang2019"
"Tang2019.14","CDKN1A","Fold03.Rep1",0.711913580246914,"Tang2019"
"Tang2019.15","CDKN2A","Fold03.Rep1",0.458259066358025,"Tang2019"
"Tang2019.16","LMNB1","Fold03.Rep1",0.497907021604938,"Tang2019"
"Tang2019.17","CDKN2B","Fold03.Rep1",0.494623842592593,"Tang2019"
"Tang2019.18","SERPINE1","Fold03.Rep1",0.700456211419753,"Tang2019"
"Tang2019.19","hUSI","Fold04.Rep1",0.829567901234568,"Tang2019"
"Tang2019.20","CDKN1A","Fold04.Rep1",0.709454089506173,"Tang2019"
"Tang2019.21","CDKN2A","Fold04.Rep1",0.462052469135803,"Tang2019"
"Tang2019.22","LMNB1","Fold04.Rep1",0.499288194444444,"Tang2019"
"Tang2019.23","CDKN2B","Fold04.Rep1",0.495964506172839,"Tang2019"
"Tang2019.24","SERPINE1","Fold04.Rep1",0.699467592592593,"Tang2019"
"Tang2019.25","hUSI","Fold05.Rep1",0.823173225308642,"Tang2019"
"Tang2019.26","CDKN1A","Fold05.Rep1",0.70405574845679,"Tang2019"
"Tang2019.27","CDKN2A","Fold05.Rep1",0.455248842592593,"Tang2019"
"Tang2019.28","LMNB1","Fold05.Rep1",0.497202932098765,"Tang2019"
"Tang2019.29","CDKN2B","Fold05.Rep1",0.493894675925926,"Tang2019"
"Tang2019.30","SERPINE1","Fold05.Rep1",0.691873070987654,"Tang2019"
"Tang2019.31","hUSI","Fold06.Rep1",0.82561149691358,"Tang2019"
"Tang2019.32","CDKN1A","Fold06.Rep1",0.703213734567901,"Tang2019"
"Tang2019.33","CDKN2A","Fold06.Rep1",0.45843074845679,"Tang2019"
"Tang2019.34","LMNB1","Fold06.Rep1",0.500665509259259,"Tang2019"
"Tang2019.35","CDKN2B","Fold06.Rep1",0.493179012345679,"Tang2019"
"Tang2019.36","SERPINE1","Fold06.Rep1",0.696196952160494,"Tang2019"
"Tang2019.37","hUSI","Fold07.Rep1",0.82830825617284,"Tang2019"
"Tang2019.38","CDKN1A","Fold07.Rep1",0.708999807098765,"Tang2019"
"Tang2019.39","CDKN2A","Fold07.Rep1",0.457708333333333,"Tang2019"
"Tang2019.40","LMNB1","Fold07.Rep1",0.499981674382716,"Tang2019"
"Tang2019.41","CDKN2B","Fold07.Rep1",0.496813271604938,"Tang2019"
"Tang2019.42","SERPINE1","Fold07.Rep1",0.69750675154321,"Tang2019"
"Tang2019.43","hUSI","Fold08.Rep1",0.827150848765432,"Tang2019"
"Tang2019.44","CDKN1A","Fold08.Rep1",0.711389853395062,"Tang2019"
"Tang2019.45","CDKN2A","Fold08.Rep1",0.455273919753086,"Tang2019"
"Tang2019.46","LMNB1","Fold08.Rep1",0.497905092592593,"Tang2019"
"Tang2019.47","CDKN2B","Fold08.Rep1",0.491113040123457,"Tang2019"
"Tang2019.48","SERPINE1","Fold08.Rep1",0.691369598765432,"Tang2019"
"Tang2019.49","hUSI","Fold09.Rep1",0.828802083333333,"Tang2019"
"Tang2019.50","CDKN1A","Fold09.Rep1",0.705190007716049,"Tang2019"
"Tang2019.51","CDKN2A","Fold09.Rep1",0.46156925154321,"Tang2019"
"Tang2019.52","LMNB1","Fold09.Rep1",0.498611111111111,"Tang2019"
"Tang2019.53","CDKN2B","Fold09.Rep1",0.496034915123457,"Tang2019"
"Tang2019.54","SERPINE1","Fold09.Rep1",0.706500771604938,"Tang2019"
"Tang2019.55","hUSI","Fold10.Rep1",0.831219135802469,"Tang2019"
"Tang2019.56","CDKN1A","Fold10.Rep1",0.708257137345679,"Tang2019"
"Tang2019.57","CDKN2A","Fold10.Rep1",0.458086419753086,"Tang2019"
"Tang2019.58","LMNB1","Fold10.Rep1",0.498589891975309,"Tang2019"
"Tang2019.59","CDKN2B","Fold10.Rep1",0.495335648148148,"Tang2019"
"Tang2019.60","SERPINE1","Fold10.Rep1",0.689182098765432,"Tang2019"
"Tang2019.61","hUSI","Fold01.Rep2",0.831988811728395,"Tang2019"
"Tang2019.62","CDKN1A","Fold01.Rep2",0.710401234567901,"Tang2019"
"Tang2019.63","CDKN2A","Fold01.Rep2",0.459425154320988,"Tang2019"
"Tang2019.64","LMNB1","Fold01.Rep2",0.497905092592593,"Tang2019"
"Tang2019.65","CDKN2B","Fold01.Rep2",0.496020447530864,"Tang2019"
"Tang2019.66","SERPINE1","Fold01.Rep2",0.69744888117284,"Tang2019"
"Tang2019.67","hUSI","Fold02.Rep2",0.826498842592593,"Tang2019"
"Tang2019.68","CDKN1A","Fold02.Rep2",0.717957175925926,"Tang2019"
"Tang2019.69","CDKN2A","Fold02.Rep2",0.461745756172839,"Tang2019"
"Tang2019.70","LMNB1","Fold02.Rep2",0.498596643518519,"Tang2019"
"Tang2019.71","CDKN2B","Fold02.Rep2",0.493309220679012,"Tang2019"
"Tang2019.72","SERPINE1","Fold02.Rep2",0.704956597222222,"Tang2019"
"Tang2019.73","hUSI","Fold03.Rep2",0.825511188271605,"Tang2019"
"Tang2019.74","CDKN1A","Fold03.Rep2",0.704877507716049,"Tang2019"
"Tang2019.75","CDKN2A","Fold03.Rep2",0.462977430555556,"Tang2019"
"Tang2019.76","LMNB1","Fold03.Rep2",0.498590856481481,"Tang2019"
"Tang2019.77","CDKN2B","Fold03.Rep2",0.49391975308642,"Tang2019"
"Tang2019.78","SERPINE1","Fold03.Rep2",0.691210455246914,"Tang2019"
"Tang2019.79","hUSI","Fold04.Rep2",0.832957175925926,"Tang2019"
"Tang2019.80","CDKN1A","Fold04.Rep2",0.716741898148148,"Tang2019"
"Tang2019.81","CDKN2A","Fold04.Rep2",0.460846836419753,"Tang2019"
"Tang2019.82","LMNB1","Fold04.Rep2",0.499293981481481,"Tang2019"
"Tang2019.83","CDKN2B","Fold04.Rep2",0.493154899691358,"Tang2019"
"Tang2019.84","SERPINE1","Fold04.Rep2",0.698973765432099,"Tang2019"
"Tang2019.85","hUSI","Fold05.Rep2",0.824363425925926,"Tang2019"
"Tang2019.86","CDKN1A","Fold05.Rep2",0.707647569444444,"Tang2019"
"Tang2019.87","CDKN2A","Fold05.Rep2",0.453714313271605,"Tang2019"
"Tang2019.88","LMNB1","Fold05.Rep2",0.500665509259259,"Tang2019"
"Tang2019.89","CDKN2B","Fold05.Rep2",0.494590084876543,"Tang2019"
"Tang2019.90","SERPINE1","Fold05.Rep2",0.699384645061728,"Tang2019"
"Tang2019.91","hUSI","Fold06.Rep2",0.830729166666667,"Tang2019"
"Tang2019.92","CDKN1A","Fold06.Rep2",0.715392554012346,"Tang2019"
"Tang2019.93","CDKN2A","Fold06.Rep2",0.457630208333333,"Tang2019"
"Tang2019.94","LMNB1","Fold06.Rep2",0.500677083333333,"Tang2019"
"Tang2019.95","CDKN2B","Fold06.Rep2",0.493952546296296,"Tang2019"
"Tang2019.96","SERPINE1","Fold06.Rep2",0.69248649691358,"Tang2019"
"Tang2019.97","hUSI","Fold07.Rep2",0.828290895061728,"Tang2019"
"Tang2019.98","CDKN1A","Fold07.Rep2",0.705157214506173,"Tang2019"
