"","TCSER","hUSI","Group"
"GTEX-XMK1-2626-SM-4B65R",-0.050356747,0.745247026976477,"Salivary Gland"
"GTEX-NPJ7-0011-R11A-SM-2I3E8",-0.154180043,0.637663964620866,"Brain"
"GTEX-13FH7-0226-SM-5IFGG",0.037655011,0.690240771835117,"Adrenal Gland"
"GTEX-13OVL-0011-R6a-SM-5L3G4",0.230927335,0.783521793946967,"Brain"
"GTEX-13OW6-0526-SM-5L3HY",0.153683938,0.667755517853425,"Adipose Tissue"
"GTEX-11DZ1-2026-SM-5A5KG",-0.89746274,0.435352302101608,"Esophagus"
"GTEX-T6MO-1626-SM-32QOM",-0.118801151,0.675079696232177,"Skin"
"GTEX-13NYB-0011-R1b-SM-5KM4F",0.305792604,0.809611829239363,"Brain"
"GTEX-PX3G-0726-SM-48TZT",0.499992683,0.634005086990935,"Esophagus"
"GTEX-YB5E-1026-SM-5IFI2",0.293426352,0.639743826244629,"Esophagus"
"GTEX-ZVZP-2426-SM-59HKJ",-0.366645531,0.634703218766669,"Skin"
"GTEX-ZYFC-2626-SM-5NQ6S",0.185962155,0.720480243013722,"Colon"
"GTEX-117YW-0526-SM-5H11C",0.364821666,0.928464864409906,"Lung"
"GTEX-WHSE-0011-R8A-SM-3P5Z1",0.332665121,0.845075738240014,"Brain"
"GTEX-U4B1-1826-SM-4DXSU",-0.114292417,0.804717028386945,"Skin"
"GTEX-ZVZO-0126-SM-5A5L9",-0.744044543,0.452153250651208,"Skin"
"GTEX-13FTY-2126-SM-5IFFB",-0.596301919,0.575523335732617,"Skin"
"GTEX-11ZUS-2726-SM-5FQUA",-0.401517239,0.275854590827517,"Testis"
"GTEX-T5JC-0626-SM-3NMA6",0.278220253,0.726334228071867,"Muscle"
"GTEX-T6MN-0011-R4A-SM-32QPG",0.276035754,0.904987655029852,"Brain"
"GTEX-ZTTD-1426-SM-4YCEX",-0.123653192,0.678902184402003,"Esophagus"
"GTEX-132AR-0006-SM-5NQ7N",-0.119955448,0.593780920367176,"Blood"
"GTEX-139TU-0526-SM-5J2M8",0.320480308,0.697882021905221,"Muscle"
"GTEX-T6MO-0426-SM-32QOI",-0.135270936,0.765213174498213,"Lung"
"GTEX-13OVK-0006-SM-5O9B7",-0.240017626,0.486673201559587,"Blood"
"GTEX-WFG8-1026-SM-4LVMZ",0.037376174,0.670403631737074,"Esophagus"
"GTEX-11NUK-2026-SM-5PNVZ",0.256884027,0.784961595391101,"Adipose Tissue"
"GTEX-ZT9W-1626-SM-4YCDQ",0.20576585,0.671101416486914,"Prostate"
"GTEX-WK11-0626-SM-3NMAV",0.530840512,0.832780588452037,"Heart"
"GTEX-R55G-0726-SM-2TC6J",-0.254128761,0.688746830233715,"Thyroid"
"GTEX-11EQ9-1226-SM-5987E",0.148382641,0.63166760475364,"Stomach"
"GTEX-13NYB-0226-SM-5N9G4",0.12840381,0.793203516026927,"Heart"
"GTEX-RWS6-0926-SM-47JXE",0.010337498,0.640072135020186,"Stomach"
"GTEX-13111-0326-SM-5DUXF",0.170230463,0.751269923039632,"Adrenal Gland"
"GTEX-139YR-2726-SM-5K7VV",0.440792079,0.701612251998935,"Blood Vessel"
"GTEX-OXRP-0126-SM-3NB32",-0.159097293,0.712497032525842,"Skin"
"GTEX-O5YT-1826-SM-32PK9",0.081931157,0.761545861893285,"Blood Vessel"
"GTEX-W5X1-1426-SM-3GIKH",0.002310792,0.838199981868888,"Adipose Tissue"
"GTEX-13X6H-1626-SM-5Q5CT",0.028670628,0.61339686695716,"Stomach"
"GTEX-146FR-0926-SM-5QGPE",0.578018148,0.835450590592343,"Heart"
"GTEX-X4LF-0006-SM-3NMCO",0.282770981,0.664798299177817,"Blood"
"GTEX-YFC4-0008-SM-4RGM3",-0.102414308,0.679038384619621,"Skin"
"GTEX-1399U-0426-SM-5K7UU",0.441079162,0.805582019203071,"Blood Vessel"
"GTEX-13FH7-1126-SM-5K7UG",-0.335860917,0.710093534707615,"Skin"
"GTEX-XGQ4-0004-SM-4AT5S",-0.930092461,0.252975066019955,"Blood"
"GTEX-131XF-0426-SM-5HL7U",0.384915838,0.79993704631582,"Heart"
"GTEX-14BIM-2226-SM-5SI8Y",-0.098726717,0.650138143335827,"Uterus"
"GTEX-147GR-0526-SM-5S2MY",-0.348529046,0.68568133444684,"Skin"
"GTEX-Y8LW-1826-SM-5S2MV",-0.242755025,0.815699535662361,"Skin"
"GTEX-OXRL-0005-SM-3LK6A",0.259799009,0.724399873408416,"Blood"
"GTEX-13OVL-1526-SM-5K7WA",0.12423535,0.794917511591277,"Nerve"
"GTEX-11P82-0126-SM-5HL72",0.327355848,0.713985106198679,"Blood Vessel"
"GTEX-WRHU-0626-SM-3MJFI",0.090894032,0.830840331403274,"Nerve"
"GTEX-ZLFU-0726-SM-57WF6",0.059073528,0.683077308460397,"Pancreas"
"GTEX-11TUW-1226-SM-5GU7C",0.112902118,0.71259942308496,"Esophagus"
"GTEX-X4EP-0726-SM-3P5YJ",-0.102542843,0.719498534314991,"Nerve"
"GTEX-S33H-1126-SM-2XCB6",0.189440346,0.891689465973238,"Adipose Tissue"
"GTEX-O5YU-0008-SM-4E3I7",-0.668464746,0.222332636373487,"Skin"
"GTEX-ZDXO-0011-R1a-SM-4WKF4",0.308940843,0.814779676370854,"Brain"
"GTEX-ZDYS-2326-SM-4WKG6",-0.11840177,0.578935173970544,"Colon"
"GTEX-145LU-2026-SM-5Q5E8",0.299136827,0.704682559997595,"Muscle"
"GTEX-146FR-1426-SM-5SIAV",0.242772999,0.798082878619453,"Nerve"
"GTEX-132NY-1026-SM-5P9IY",0.122727735,0.777507656162771,"Thyroid"
"GTEX-13N1W-0826-SM-5MR5J",0.282307118,0.751021319271917,"Thyroid"
"GTEX-ZTX8-0426-SM-59HLG",-0.066522023,0.708814684489296,"Stomach"
"GTEX-146FH-2026-SM-5SI9I",0.228375155,0.820253114266348,"Adipose Tissue"
"GTEX-ZWKS-0326-SM-5NQ7G",0.166117809,0.694978399864293,"Muscle"
"GTEX-12WSK-2626-SM-5GCOT",0.219330646,0.808899291295389,"Nerve"
"GTEX-12WSL-1326-SM-5LZVW",-0.187186769,0.609483428386779,"Esophagus"
"GTEX-X8HC-0126-SM-4E3JW",0.042304863,0.649594783156576,"Skin"
"GTEX-11I78-1526-SM-5A5K7",-0.74287083,0.352492677835503,"Esophagus"
"GTEX-X15G-1426-SM-4PQZK",-0.682041635,0.565453555046988,"Small Intestine"
"GTEX-11DXY-3226-SM-5GIDE",0.306439954,0.76821702098298,"Brain"
"GTEX-ZDTS-0226-SM-5HL7Q",0.141824778,0.781599257665089,"Adipose Tissue"
"GTEX-12WSM-0726-SM-5GCOW",0.120938021,0.671486385165337,"Liver"
"GTEX-ZC5H-2726-SM-5KLZW",0.344025754,0.789298907710202,"Salivary Gland"
"GTEX-WYJK-0326-SM-3NMA8",0.015335163,0.791802458914814,"Nerve"
"GTEX-13NYB-2926-SM-5K7VH",0.625871964,0.681461760646407,"Blood Vessel"
"GTEX-ZYFG-0126-SM-5GIDH",0.587697017,0.801779954897901,"Blood Vessel"
"GTEX-ZAB5-1426-SM-5HL9D",0.249503509,0.629788060185813,"Colon"
"GTEX-11EQ9-1126-SM-5987I",0.019801342,0.813889162465414,"Adipose Tissue"
"GTEX-ZV68-0011-R5a-SM-4YCDW",0.219710078,0.772738313458431,"Brain"
"GTEX-11ZTT-0426-SM-5EQLK",0.10069542,0.785319161989821,"Blood Vessel"
"GTEX-11EM3-1026-SM-5A5KL",0.096825621,0.694222966863503,"Stomach"
"GTEX-111YS-1726-SM-5GIED",0.0849211,0.646384634252993,"Prostate"
"GTEX-1497J-0005-SM-5NQBD",0.179587391,0.600439528617429,"Blood"
"GTEX-12WSG-2426-SM-5EQLZ",0.359039849,0.696297170108316,"Colon"
"GTEX-WYJK-0826-SM-3NM8Y",0.433917902,0.854916260964999,"Lung"
"GTEX-XGQ4-1526-SM-4AT6H",-0.840793294,0.27190854680836,"Esophagus"
"GTEX-11GSP-0011-R6b-SM-57WBQ",0.256629491,0.762892026042104,"Brain"
"GTEX-Y5V6-1026-SM-4VBS2",-0.748033372,0.381585829090214,"Esophagus"
"GTEX-111FC-0226-SM-5N9B8",0.100445777,0.775741532806067,"Adipose Tissue"
"GTEX-146FR-1526-SM-5SIB8",0.345337596,0.778946809153559,"Adrenal Gland"
"GTEX-WHPG-2326-SM-3NMBP",0.467141996,0.745322192047319,"Blood Vessel"
"GTEX-YEC4-2126-SM-5IFJH",0.008303021,0.684365629338292,"Skin"
"GTEX-OOBJ-0426-SM-3NB1S",0.368198731,0.783468235911608,"Blood Vessel"
"GTEX-ZZPT-0626-SM-5GZXT",-0.068876118,0.695020288538005,"Muscle"
"GTEX-ZE7O-0226-SM-5S2N1",0.012480065,0.854518853167858,"Adipose Tissue"
"GTEX-11ZVC-2926-SM-5986H",0.61001332,0.740336217906312,"Blood Vessel"
"GTEX-XYKS-0002-SM-4BRWN",-0.929179041,0.217394720434352,"Blood"
"GTEX-SIU8-0126-SM-2XCDT",-0.474190945,0.536733847592497,"Skin"
"GTEX-Y111-0126-SM-4SOIV",-0.213638602,0.54171922921509,"Skin"
"GTEX-11GS4-0008-SM-5QGRA",-0.196601777,0.624714173084175,"Skin"
"GTEX-V955-0426-SM-3GAEL",-0.035827638,0.812711417230706,"Thyroid"
"GTEX-13O61-2326-SM-5J1NJ",0.217160542,0.705594373326588,"Muscle"
"GTEX-YJ8O-2526-SM-5HL85",-0.402768231,0.601844838492343,"Skin"
"GTEX-13NZB-2026-SM-5MR4M",-0.585364044,0.291001769771681,"Testis"
"GTEX-11I78-0826-SM-5A5K4",0.475569391,0.7721853507848,"Heart"
"GTEX-13U4I-2026-SM-5LU3L",-0.201022726,0.70965253783077,"Vagina"
"GTEX-WI4N-1026-SM-3LK7N",0.028946195,0.660332057436149,"Skin"
"GTEX-13OVI-0826-SM-5KLZ8",0.262964049,0.772279093581567,"Thyroid"
"GTEX-1399T-1326-SM-5PNVH",0.129166493,0.8928850879551,"Adipose Tissue"
"GTEX-13OVL-0011-R3b-SM-5L3I8",0.286673023,0.793668568651358,"Brain"
"GTEX-Q2AI-0006-SM-2I3FG",0.233153295,0.713433891033545,"Blood"
"GTEX-ZTSS-1226-SM-51MSZ",0.178397861,0.695903768192169,"Colon"
"GTEX-P4PP-0005-SM-2HMKX",0.204691598,0.656335470130181,"Blood"
"GTEX-11DYG-2526-SM-5N9BB",-0.158805243,0.634084159517992,"Prostate"
"GTEX-S3XE-1026-SM-4AD4O",-0.13309268,0.6578623672569,"Stomach"
"GTEX-QLQ7-1626-SM-2S1R8",-0.296813625,0.666309753115308,"Skin"
"GTEX-13PVR-1426-SM-5S2PW",-0.344704138,0.609634002429483,"Vagina"
"GTEX-WQUQ-2426-SM-4MVNW",-0.39080664,0.569712990274939,"Small Intestine"
"GTEX-XBED-0006-SM-47JXO",0.226672883,0.719538869877783,"Blood"
"GTEX-111CU-0226-SM-5GZXC",0.224348625,0.697588123986404,"Thyroid"
"GTEX-ZF29-0326-SM-4WKFB",0.68179609,0.847206699354253,"Blood Vessel"
"GTEX-13OW7-0011-R5b-SM-5O9DM",0.223244115,0.772228417997196,"Brain"
"GTEX-13OW6-0326-SM-5L3H9",0.393369365,0.708979737156526,"Blood Vessel"
"GTEX-WHPG-0926-SM-4M1XY",0.134773889,0.809163880927977,"Blood Vessel"
"GTEX-RN64-0826-SM-2TC62",0.147612991,0.826967951884697,"Heart"
"GTEX-13X6I-2726-SM-5Q5ET",0.243513061,0.827909718586194,"Colon"
"GTEX-S7SE-0526-SM-2XCD8",0.366830729,0.704872567081256,"Blood Vessel"
"GTEX-QCQG-1926-SM-5SI7Q",0.310859956,0.705399461137122,"Blood Vessel"
"GTEX-QEL4-1326-SM-447AD",0.054058329,0.698496151069791,"Pancreas"
"GTEX-14A6H-2726-SM-5QGPL",0.263367232,0.654110297850331,"Blood Vessel"
"GTEX-ZP4G-0526-SM-4YCED",0.245748283,0.849627770733764,"Blood Vessel"
"GTEX-ZVT3-0826-SM-5GIC8",0.522211925,0.828713970424699,"Heart"
"GTEX-ZE9C-0011-R11a-SM-4WKGG",-0.164873882,0.649875862902312,"Brain"
"GTEX-1122O-0126-SM-5GICA",0.225026729,0.789526428834693,"Lung"
"GTEX-ZUA1-2126-SM-57YRB",0.065330656,0.782476223430619,"Adipose Tissue"
"GTEX-13G51-0926-SM-5IFFU",-0.55366037,0.576984664960381,"Esophagus"
"GTEX-ZAB4-1126-SM-5HL86",-0.684265029,0.529914303195587,"Esophagus"
"GTEX-11EQ8-0008-SM-5Q5DJ",-0.180931539,0.619475427012919,"Skin"
"GTEX-13NYC-2426-SM-5MR3K",0.007833491,0.803008299348892,"Thyroid"
