Gene,Weight,Derection
SCEL,0.008147223,Positive
GSDMC,0.008139206,Positive
CNIH3,0.008132404,Positive
SCN1A,0.008104662,Positive
ARMC12,0.008098173,Positive
GPT,0.008080393,Positive
FAM81B,0.008079315,Positive
SLC8A3,0.00807583,Positive
TMEM163,0.008045621,Positive
NPBWR1,0.008029632,Positive
CYP2J2,0.008027546,Positive
DPP10,0.00800972,Positive
DSC3,0.008005644,Positive
GPR146,0.008005429,Positive
TNFRSF6B,0.008001773,Positive
PIGR,0.008000531,Positive
DIO2,0.007982818,Positive
CPNE8,0.007974707,Positive
PIGZ,0.007962449,Positive
MYPN,0.007955948,Positive
ADPRH,0.007937696,Positive
AHSG,0.007920334,Positive
QPRT,0.007918524,Positive
ANXA10,0.007916439,Positive
SLPI,0.007915161,Positive
EIF1AY,0.00789291,Positive
SGIP1,0.007887223,Positive
SRGN,0.007871799,Positive
VTCN1,0.007871388,Positive
ARPP21,0.007865817,Positive
C4orf48,0.007845924,Positive
CDH26,0.007845148,Positive
C6,0.007828733,Positive
AGXT,0.007814188,Positive
SLC37A1,0.007810225,Positive
CSPG5,0.007808277,Positive
EPHA10,0.007786313,Positive
CFAP70,0.007779553,Positive
BEAN1,0.00777867,Positive
ZSWIM5,0.007777928,Positive
CDKN2A,0.00776452,Positive
IL11,0.007762998,Positive
ENPP5,0.007750713,Positive
SPOCK3,0.00774474,Positive
MYO5C,0.007733174,Positive
EGR2,0.007712239,Positive
GJA5,0.007700851,Positive
NIPAL1,0.007694074,Positive
PALMD,0.007690759,Positive
SERPINE1,0.007683563,Positive
PPP2R2C,0.007681708,Positive
SYT8,0.007675286,Positive
TRIM50,0.007673244,Positive
TRIM10,0.007649851,Positive
ABCA10,0.007648973,Positive
SCG2,0.007646739,Positive
UTY,0.007633072,Positive
GATA4,0.007615078,Positive
MDGA2,0.007613805,Positive
NES,0.007579355,Positive
PNMA3,0.007576079,Positive
CALML6,0.007572994,Positive
GDF1,0.00756591,Positive
ZIC2,0.007550995,Positive
DDX25,0.007549283,Positive
POMC,0.007549179,Positive
CXADR,0.007540843,Positive
SNURF,0.007537742,Positive
LIX1,0.007535411,Positive
CLIC3,0.00752612,Positive
FAAH,0.007523222,Positive
GABBR2,0.007495753,Positive
GPLD1,0.007492335,Positive
FBLL1,0.007489058,Positive
CES4A,0.007476819,Positive
LIF,0.007467789,Positive
ENTPD2,0.007463314,Positive
IL7R,0.007459446,Positive
NRROS,0.007457563,Positive
NMRK2,0.007452439,Positive
SLC34A2,0.007448813,Positive
XCL1,0.007446708,Positive
FABP6,0.00744453,Positive
RAB7B,0.007431292,Positive
